,drug_id,name,type,class,moa,description,quesion,option_A,option_B,option_C,option_D,option_E,answers
883,DB01070,Dihydrotachysterol,small molecule,Lipids and lipid-like molecules,agonist,A vitamin D that can be regarded as a reduction product of vitamin D2.,How is Dihydrotachysterol metabolized in the body?,Hydroxylated in the kidneys to form 25-hydroxydihydrotachysterol,Hydroxylated in the liver to form 25-hydroxydihydrotachysterol,Directly absorbed without metabolism,Hydroxylated in the spleen,Metabolized in the pancreas,B
884,DB01070,Dihydrotachysterol,small molecule,Lipids and lipid-like molecules,agonist,A vitamin D that can be regarded as a reduction product of vitamin D2.,What is the mechanism of action of Dihydrotachysterol?,Inhibits DNA replication in bacterial cells,Blocks neurotransmitter release,Binds to the vitamin D receptor and regulates bone matrix proteins,Acts as an antagonist to parathyroid hormone,Increases insulin secretion,C
885,DB01070,Dihydrotachysterol,small molecule,Lipids and lipid-like molecules,agonist,A vitamin D that can be regarded as a reduction product of vitamin D2.,Which of the following is a known drug interaction with Dihydrotachysterol?,Increased serum concentration when combined with Aluminum hydroxide,Decreased efficacy when combined with Ibuprofen,Increased toxicity when combined with Acetaminophen,Decreased absorption when combined with Aspirin,No known interactions,A
886,DB01070,Dihydrotachysterol,small molecule,Lipids and lipid-like molecules,agonist,A vitamin D that can be regarded as a reduction product of vitamin D2.,What is the protein-binding capacity of Dihydrotachysterol?,50%,75%,>99%,25%,0%,C
887,DB01073,Fludarabine,small molecule,"Nucleosides, nucleotides, and analogues",incorporation into and destabilization | agonist | inhibitor,Fludarabine is a chemotherapeutic agent used in the treatment of hematological malignancies. It is commonly marketed under the brand name Fludara.,What is the bioavailability of Fludarabine when administered orally?,25%,35%,45%,55%,65%,D
888,DB01073,Fludarabine,small molecule,"Nucleosides, nucleotides, and analogues",incorporation into and destabilization | agonist | inhibitor,Fludarabine is a chemotherapeutic agent used in the treatment of hematological malignancies. It is commonly marketed under the brand name Fludara.,What is the mechanism of action of Fludarabine?,It inhibits microtubule formation,It acts as a topoisomerase inhibitor,"It inhibits DNA polymerase alpha, ribonucleotide reductase, and DNA primase",It acts as an alkylating agent,It promotes apoptosis,C
889,DB01073,Fludarabine,small molecule,"Nucleosides, nucleotides, and analogues",incorporation into and destabilization | agonist | inhibitor,Fludarabine is a chemotherapeutic agent used in the treatment of hematological malignancies. It is commonly marketed under the brand name Fludara.,Under which brand name is Fludarabine commonly marketed?,Oncovin,Fludara,Adrucil,Cytoxan,Taxol,B
890,DB01073,Fludarabine,small molecule,"Nucleosides, nucleotides, and analogues",incorporation into and destabilization | agonist | inhibitor,Fludarabine is a chemotherapeutic agent used in the treatment of hematological malignancies. It is commonly marketed under the brand name Fludara.,What is the half-life of Fludarabine?,10 hours,15 hours,20 hours,25 hours,30 hours,C
891,DB01131,Proguanil,small molecule,Organic nitrogen compounds,inhibitor,"Proguanil is a prophylactic antimalarial drug, which works by stopping the malaria parasite, _Plasmodium falciparum_ and _Plasmodium vivax_, from reproducing once it is in the red blood cells. It does this by inhibiting the enzyme, dihydrofolate reductase, which is involved in the reproduction of the parasite.",What is the primary use of Proguanil?,To treat bacterial infections.,To reduce fever and pain.,For the causal prevention and suppression of malaria.,To treat viral infections such as influenza.,To manage hypertension.,C
892,DB01131,Proguanil,small molecule,Organic nitrogen compounds,inhibitor,"Proguanil is a prophylactic antimalarial drug, which works by stopping the malaria parasite, _Plasmodium falciparum_ and _Plasmodium vivax_, from reproducing once it is in the red blood cells. It does this by inhibiting the enzyme, dihydrofolate reductase, which is involved in the reproduction of the parasite.",How is Proguanil metabolized in the human body?,Through renal excretion without metabolism.,By hydrolysis in the gastrointestinal tract.,Variably metabolized in the liver by cytochrome P450 isoenzymes.,Through direct excretion via the lungs.,By spontaneous degradation in the bloodstream.,C
893,DB01131,Proguanil,small molecule,Organic nitrogen compounds,inhibitor,"Proguanil is a prophylactic antimalarial drug, which works by stopping the malaria parasite, _Plasmodium falciparum_ and _Plasmodium vivax_, from reproducing once it is in the red blood cells. It does this by inhibiting the enzyme, dihydrofolate reductase, which is involved in the reproduction of the parasite.",What is the approximate half-life of Proguanil?,5 hours,10 hours,15 hours,20 hours,25 hours,D
894,DB01131,Proguanil,small molecule,Organic nitrogen compounds,inhibitor,"Proguanil is a prophylactic antimalarial drug, which works by stopping the malaria parasite, _Plasmodium falciparum_ and _Plasmodium vivax_, from reproducing once it is in the red blood cells. It does this by inhibiting the enzyme, dihydrofolate reductase, which is involved in the reproduction of the parasite.",Which of the following is a salt form of Proguanil?,Proguanil sulfate,Proguanil hydrochloride,Proguanil nitrate,Proguanil phosphate,Proguanil acetate,B
895,DB01134,Desoxycorticosterone pivalate,small molecule,Lipids and lipid-like molecules,agonist,"Desoxycorticosterone pivalate is a mineralocorticoid hormone and an analog of desoxycorticosterone. It is white, odorless, and stable in air. It is practically insoluble in water, sparingly soluble in acetone, slightly soluble in methanol, ether and vegetable oils. Federal (U.S.A.) law restricts this drug to use by or on the order of a licensed veterinarian.",What is the mechanism of action of Desoxycorticosterone Pivalate?,It inhibits the synthesis of DNA in cellular nuclei.,It binds to the glucocorticoid receptor.,"It binds to the mineralocorticoid receptor, affecting gene transcription.",It blocks the potassium channels in cell membranes.,It acts as an antagonist to the estrogen receptor.,C
896,DB01134,Desoxycorticosterone pivalate,small molecule,Lipids and lipid-like molecules,agonist,"Desoxycorticosterone pivalate is a mineralocorticoid hormone and an analog of desoxycorticosterone. It is white, odorless, and stable in air. It is practically insoluble in water, sparingly soluble in acetone, slightly soluble in methanol, ether and vegetable oils. Federal (U.S.A.) law restricts this drug to use by or on the order of a licensed veterinarian.",What are the symptoms of an overdose of Desoxycorticosterone Pivalate?,Hypoglycemia and seizures,"Polyuria, polydipsia, increased blood volume, edema, and cardiac enlargement",Respiratory depression and coma,Liver failure and jaundice,Skin rash and itching,B
897,DB01134,Desoxycorticosterone pivalate,small molecule,Lipids and lipid-like molecules,agonist,"Desoxycorticosterone pivalate is a mineralocorticoid hormone and an analog of desoxycorticosterone. It is white, odorless, and stable in air. It is practically insoluble in water, sparingly soluble in acetone, slightly soluble in methanol, ether and vegetable oils. Federal (U.S.A.) law restricts this drug to use by or on the order of a licensed veterinarian.",What is the protein-binding percentage of Desoxycorticosterone Pivalate?,25%,50%,75%,90%,100%,D
898,DB01134,Desoxycorticosterone pivalate,small molecule,Lipids and lipid-like molecules,agonist,"Desoxycorticosterone pivalate is a mineralocorticoid hormone and an analog of desoxycorticosterone. It is white, odorless, and stable in air. It is practically insoluble in water, sparingly soluble in acetone, slightly soluble in methanol, ether and vegetable oils. Federal (U.S.A.) law restricts this drug to use by or on the order of a licensed veterinarian.",Which of the following drugs can decrease the serum concentration of Desoxycorticosterone Pivalate when combined?,Pitolisant,Metreleptin,Cenobamate,Ritonavir,Haloperidol,A
899,DB01149,Nefazodone,small molecule,Organoheterocyclic compounds,antagonist | inhibitor,"Nefazodone hydrochloride (trade name Serzone) is an antidepressant drug marketed by Bristol-Myers Squibb. Its sale was discontinued in 2003 in some countries, due to the small possibility of hepatic (liver) injury. Drug-induced hepatic injuries were associated with an risk of elevated need for a liver transplant, or even death, with the incidence of severe liver damage was shown to be approximately 1 in 250,000 to 300,000 patient-years. On May 20, 2004, Bristol-Myers Squibb discontinued the sale of Serzone in the United States.",What is the mechanism of action of Nefazodone?,It primarily inhibits the reuptake of dopamine.,It acts as an antagonist at type 2 serotonin (5-HT<sub>2</sub>) receptors and inhibits serotonin reuptake.,It enhances GABAergic transmission.,It blocks calcium channels.,It inhibits monoamine oxidase.,B
900,DB01149,Nefazodone,small molecule,Organoheterocyclic compounds,antagonist | inhibitor,"Nefazodone hydrochloride (trade name Serzone) is an antidepressant drug marketed by Bristol-Myers Squibb. Its sale was discontinued in 2003 in some countries, due to the small possibility of hepatic (liver) injury. Drug-induced hepatic injuries were associated with an risk of elevated need for a liver transplant, or even death, with the incidence of severe liver damage was shown to be approximately 1 in 250,000 to 300,000 patient-years. On May 20, 2004, Bristol-Myers Squibb discontinued the sale of Serzone in the United States.",What serious side effect is associated with Nefazodone?,Renal failure,Seizures,Hepatic failure,Cardiac arrest,Pulmonary embolism,C
901,DB01149,Nefazodone,small molecule,Organoheterocyclic compounds,antagonist | inhibitor,"Nefazodone hydrochloride (trade name Serzone) is an antidepressant drug marketed by Bristol-Myers Squibb. Its sale was discontinued in 2003 in some countries, due to the small possibility of hepatic (liver) injury. Drug-induced hepatic injuries were associated with an risk of elevated need for a liver transplant, or even death, with the incidence of severe liver damage was shown to be approximately 1 in 250,000 to 300,000 patient-years. On May 20, 2004, Bristol-Myers Squibb discontinued the sale of Serzone in the United States.",What is the bioavailability of Nefazodone?,About 50%,About 75%,About 20%,About 90%,About 100%,C
902,DB01149,Nefazodone,small molecule,Organoheterocyclic compounds,antagonist | inhibitor,"Nefazodone hydrochloride (trade name Serzone) is an antidepressant drug marketed by Bristol-Myers Squibb. Its sale was discontinued in 2003 in some countries, due to the small possibility of hepatic (liver) injury. Drug-induced hepatic injuries were associated with an risk of elevated need for a liver transplant, or even death, with the incidence of severe liver damage was shown to be approximately 1 in 250,000 to 300,000 patient-years. On May 20, 2004, Bristol-Myers Squibb discontinued the sale of Serzone in the United States.",Why was the sale of Nefazodone discontinued in the United States?,Due to its high cost of production.,Due to the discovery of better alternatives.,Due to the risk of severe liver damage.,Due to lack of efficacy.,Due to patent expiration.,C
903,DB01152,Candicidin,small molecule,Organic oxygen compounds,antagonist,Candicidin is an antibiotic obtained from a streptomyces (Streptomyces griseus) and active against some fungi of the genus Candida (C. albicans). Candicidin is administered intravaginally in the treatment of vulvovaginal candidiasis.,What organism is Candicidin derived from?,Escherichia coli,Streptomyces griseus,Saccharomyces cerevisiae,Staphylococcus aureus,Bacillus subtilis,B
904,DB01152,Candicidin,small molecule,Organic oxygen compounds,antagonist,Candicidin is an antibiotic obtained from a streptomyces (Streptomyces griseus) and active against some fungi of the genus Candida (C. albicans). Candicidin is administered intravaginally in the treatment of vulvovaginal candidiasis.,What is the mechanism of action of Candicidin?,Inhibition of bacterial cell wall synthesis,Disruption of fungal cytoplasmic membranes by binding to ergosterol,Inhibition of DNA gyrase,Blocking protein synthesis in bacteria,Activation of immune response,B
905,DB01152,Candicidin,small molecule,Organic oxygen compounds,antagonist,Candicidin is an antibiotic obtained from a streptomyces (Streptomyces griseus) and active against some fungi of the genus Candida (C. albicans). Candicidin is administered intravaginally in the treatment of vulvovaginal candidiasis.,Which of the following categories does Candicidin belong to?,Antiviral Agents,Antifungal Agents,Anti-inflammatory Agents,Antihypertensive Agents,Antidiabetic Agents,B
906,DB01152,Candicidin,small molecule,Organic oxygen compounds,antagonist,Candicidin is an antibiotic obtained from a streptomyces (Streptomyces griseus) and active against some fungi of the genus Candida (C. albicans). Candicidin is administered intravaginally in the treatment of vulvovaginal candidiasis.,What is the drug classification of Candicidin?,Beta-lactam antibiotics,Aminoglycosides,Macrolides,Quinolones,Sulfonylureas,B
907,DB01245,Decamethonium,small molecule,Organic nitrogen compounds,unknown,Decamethonium is used in anesthesia to cause paralysis. It is a short acting depolarizing muscle relaxant. It is similar to acetylcholine and acts as a partial agonist of the nicotinic acetylcholine receptor.,How does Decamethonium act at the neuromuscular junction?,It enhances the effects of acetylcholine,It blocks the release of acetylcholine,It acts as an agonist of nicotinic acetylcholine receptors causing depolarization,It prevents the synthesis of acetylcholine,It enhances nerve impulses,C
908,DB01245,Decamethonium,small molecule,Organic nitrogen compounds,unknown,Decamethonium is used in anesthesia to cause paralysis. It is a short acting depolarizing muscle relaxant. It is similar to acetylcholine and acts as a partial agonist of the nicotinic acetylcholine receptor.,What is the mechanism of action of Decamethonium?,It inhibits the action of neurotransmitters,It binds to nicotinic acetylcholine receptors and blocks access to the receptors,It is degraded rapidly in the neuromuscular junction,It increases the reuptake of acetylcholine,It acts as a competitive inhibitor of acetylcholine,B
909,DB01245,Decamethonium,small molecule,Organic nitrogen compounds,unknown,Decamethonium is used in anesthesia to cause paralysis. It is a short acting depolarizing muscle relaxant. It is similar to acetylcholine and acts as a partial agonist of the nicotinic acetylcholine receptor.,What is the chemical classification of Decamethonium?,Aromatic compound,Decamethonium compound,Simple organic salt,Complex protein,Carbohydrate derivative,B
910,DB01245,Decamethonium,small molecule,Organic nitrogen compounds,unknown,Decamethonium is used in anesthesia to cause paralysis. It is a short acting depolarizing muscle relaxant. It is similar to acetylcholine and acts as a partial agonist of the nicotinic acetylcholine receptor.,What are the potential toxic effects of Decamethonium as indicated by its LD50 value?,Mild skin irritation,Nausea and vomiting,"Prolonged apnoea, neuromuscular paralysis, and cardiac arrest",Liver damage,Kidney failure,C
911,DB01265,Telbivudine,small molecule,"Nucleosides, nucleotides, and analogues",unknown,"Telbivudine is a synthetic thymidine nucleoside analog with specific activity against the hepatitis B virus. Telbivudine is orally administered, with good tolerance, lack of toxicity and no dose-limiting side effects.",How is Telbivudine administered?,Intravenously,Topically,Orally,Intramuscularly,Subcutaneously,C
912,DB01265,Telbivudine,small molecule,"Nucleosides, nucleotides, and analogues",unknown,"Telbivudine is a synthetic thymidine nucleoside analog with specific activity against the hepatitis B virus. Telbivudine is orally administered, with good tolerance, lack of toxicity and no dose-limiting side effects.",What is the mechanism of action of Telbivudine?,It inhibits protease enzymes in viruses.,"It inhibits HBV DNA polymerase by competing with the natural substrate, thymidine 5'–triphosphate.",It enhances the immune response against the virus.,It blocks viral entry into host cells.,It acts as a vaccine to prevent hepatitis B.,B
913,DB01265,Telbivudine,small molecule,"Nucleosides, nucleotides, and analogues",unknown,"Telbivudine is a synthetic thymidine nucleoside analog with specific activity against the hepatitis B virus. Telbivudine is orally administered, with good tolerance, lack of toxicity and no dose-limiting side effects.",What is the reported half-life of Telbivudine?,5 hours,10 hours,15 hours,20 hours,25 hours,C
914,DB01265,Telbivudine,small molecule,"Nucleosides, nucleotides, and analogues",unknown,"Telbivudine is a synthetic thymidine nucleoside analog with specific activity against the hepatitis B virus. Telbivudine is orally administered, with good tolerance, lack of toxicity and no dose-limiting side effects.",What is the primary route of elimination for Telbivudine?,Fecal excretion,Biliary excretion,Urinary excretion of unchanged drug,Pulmonary excretion,Metabolic breakdown in the liver,C
915,DB01301,Rolitetracycline,small molecule,Phenylpropanoids and polyketides,inhibitor,A pyrrolidinylmethyl tetracycline.,What is the state of Rolitetracycline at room temperature?,Gas,Liquid,Solid,Gel,Suspension,C
916,DB01301,Rolitetracycline,small molecule,Phenylpropanoids and polyketides,inhibitor,A pyrrolidinylmethyl tetracycline.,Which of the following is a symptom of Rolitetracycline overdose?,Hypertension,Anorexia,Hypoglycemia,Insomnia,Tachycardia,B
917,DB01301,Rolitetracycline,small molecule,Phenylpropanoids and polyketides,inhibitor,A pyrrolidinylmethyl tetracycline.,What is the mechanism of action of Rolitetracycline?,It inhibits DNA replication in bacterial cells.,It blocks the binding of tRNA to the mRNA-ribosome complex.,It disrupts the bacterial cell wall.,It inhibits the synthesis of bacterial folic acid.,It increases the permeability of the bacterial cell membrane.,B
918,DB01301,Rolitetracycline,small molecule,Phenylpropanoids and polyketides,inhibitor,A pyrrolidinylmethyl tetracycline.,Which food interaction should be avoided when taking Rolitetracycline?,Avoid consuming high-sugar foods.,Avoid milk and dairy products.,Avoid high-fiber foods.,Avoid caffeinated beverages.,Avoid citrus fruits.,B
919,DB01431,Allylestrenol,small molecule,Lipids and lipid-like molecules,agonist,"A synthetic steroid with progestational activity. It is widely marketed throughout Europe, including Russia and many other European countries, and is also available in Japan, Hong Kong, India, Bangladesh, Indonesia, and much of Southeast Asia, though notably not in the United States or Canada.",What is the mechanism of action of Allylestrenol?,It acts as a vasodilator,It inhibits the absorption of cholesterol,It is structurally and functionally similar to progesterone,It blocks beta-adrenergic receptors,It acts as an antipyretic,C
920,DB01431,Allylestrenol,small molecule,Lipids and lipid-like molecules,agonist,"A synthetic steroid with progestational activity. It is widely marketed throughout Europe, including Russia and many other European countries, and is also available in Japan, Hong Kong, India, Bangladesh, Indonesia, and much of Southeast Asia, though notably not in the United States or Canada.",Which of the following is a known drug interaction with Allylestrenol?,Increased metabolism when combined with Phenytoin,Decreased effectiveness when combined with Ibuprofen,Increased toxicity when combined with Paracetamol,Decreased absorption when taken with food,None of the above,A
921,DB01549,Rolicyclidine,small molecule,Organic nitrogen compounds,unknown,"Rolicyclidine (PCPy) is classified as a dissociative anesthetic agent. It also has hallucinogenic and sedative properties. Because of its pharmacodynamic similarity to the drug phencyclidine (PCP),  rolicyclidine was added to the Schedule I list of illegal drugs in the USA in the 1970s.",In which decade was Rolicyclidine added to the Schedule I list of illegal drugs in the USA?,1960s,1970s,1980s,1990s,2000s,B
922,DB01549,Rolicyclidine,small molecule,Organic nitrogen compounds,unknown,"Rolicyclidine (PCPy) is classified as a dissociative anesthetic agent. It also has hallucinogenic and sedative properties. Because of its pharmacodynamic similarity to the drug phencyclidine (PCP),  rolicyclidine was added to the Schedule I list of illegal drugs in the USA in the 1970s.",What are the primary effects of Rolicyclidine as described in its pharmacodynamics?,Antiviral and antibacterial,Antipyretic and analgesic,"Dissociative, anesthetic, and hallucinogenic",Antidepressant and anxiolytic,Hypoglycemic and antihypertensive,C
923,DB01549,Rolicyclidine,small molecule,Organic nitrogen compounds,unknown,"Rolicyclidine (PCPy) is classified as a dissociative anesthetic agent. It also has hallucinogenic and sedative properties. Because of its pharmacodynamic similarity to the drug phencyclidine (PCP),  rolicyclidine was added to the Schedule I list of illegal drugs in the USA in the 1970s.",What is the chemical classification of Rolicyclidine?,Steroid,Aralkylamine,Carbohydrate,Peptide,Nucleoside,B
924,DB01549,Rolicyclidine,small molecule,Organic nitrogen compounds,unknown,"Rolicyclidine (PCPy) is classified as a dissociative anesthetic agent. It also has hallucinogenic and sedative properties. Because of its pharmacodynamic similarity to the drug phencyclidine (PCP),  rolicyclidine was added to the Schedule I list of illegal drugs in the USA in the 1970s.",Which of the following is NOT a synonym for Rolicyclidine?,PCPy,Roliciclidina,Rolicyclidinum,Biotin,Rolicyclidine,D
925,DB01775,Dihydroxyacetone,small molecule,Organic oxygen compounds,unknown,"A ketotriose compound. Its addition to blood preservation solutions results in better maintenance of 2,3-diphosphoglycerate levels during storage. It is readily phosphorylated to dihydroxyacetone phosphate by triokinase in erythrocytes. In combination with naphthoquinones it acts as a sunscreening agent. [PubChem]",What is the state of Dihydroxyacetone at room temperature?,Gas,Liquid,Solid,Plasma,Gel,C
926,DB01775,Dihydroxyacetone,small molecule,Organic oxygen compounds,unknown,"A ketotriose compound. Its addition to blood preservation solutions results in better maintenance of 2,3-diphosphoglycerate levels during storage. It is readily phosphorylated to dihydroxyacetone phosphate by triokinase in erythrocytes. In combination with naphthoquinones it acts as a sunscreening agent. [PubChem]",Which of the following is a known use of Dihydroxyacetone?,Antidepressant,Sunscreening agent,Antibiotic,Pain reliever,Antiviral,B
927,DB01775,Dihydroxyacetone,small molecule,Organic oxygen compounds,unknown,"A ketotriose compound. Its addition to blood preservation solutions results in better maintenance of 2,3-diphosphoglycerate levels during storage. It is readily phosphorylated to dihydroxyacetone phosphate by triokinase in erythrocytes. In combination with naphthoquinones it acts as a sunscreening agent. [PubChem]",What is the melting point of Dihydroxyacetone?,100 °C,90 °C,80 °C,70 °C,60 °C,B
928,DB01775,Dihydroxyacetone,small molecule,Organic oxygen compounds,unknown,"A ketotriose compound. Its addition to blood preservation solutions results in better maintenance of 2,3-diphosphoglycerate levels during storage. It is readily phosphorylated to dihydroxyacetone phosphate by triokinase in erythrocytes. In combination with naphthoquinones it acts as a sunscreening agent. [PubChem]","Which organism is associated with the target ""Dihydroxyacetone kinase""?",Homo sapiens,Escherichia coli,Citrobacter freundii,Saccharomyces cerevisiae,Staphylococcus aureus,C
929,DB02665,"(1R,2S)-2-Phenylcyclopropanaminium",small molecule,Organic nitrogen compounds,unknown,"A propylamine formed from the cyclization of the side chain of amphetamine. This monoamine oxidase inhibitor is effective in the treatment of major depression, dysthymic disorder, and atypical depression. It also is useful in panic and phobic disorders. (From AMA Drug Evaluations Annual, 1994, p311)","What is the state of (1R,2S)-2-Phenylcyclopropanaminium at room temperature?",Gas,Liquid,Solid,Plasma,Gel,C
930,DB02665,"(1R,2S)-2-Phenylcyclopropanaminium",small molecule,Organic nitrogen compounds,unknown,"A propylamine formed from the cyclization of the side chain of amphetamine. This monoamine oxidase inhibitor is effective in the treatment of major depression, dysthymic disorder, and atypical depression. It also is useful in panic and phobic disorders. (From AMA Drug Evaluations Annual, 1994, p311)","Which of the following is a therapeutic use of (1R,2S)-2-Phenylcyclopropanaminium?",Hypertension,Major depression,Diabetes,Asthma,Osteoporosis,B
931,DB02665,"(1R,2S)-2-Phenylcyclopropanaminium",small molecule,Organic nitrogen compounds,unknown,"A propylamine formed from the cyclization of the side chain of amphetamine. This monoamine oxidase inhibitor is effective in the treatment of major depression, dysthymic disorder, and atypical depression. It also is useful in panic and phobic disorders. (From AMA Drug Evaluations Annual, 1994, p311)","Which class of organic compounds does (1R,2S)-2-Phenylcyclopropanaminium belong to?",Ketones,Carboxylic acids,Aralkylamines,Esters,Alcohols,C
932,DB02679,Cyanamide,small molecule,Organic nitrogen compounds,unknown,"A cyanide compound which has been used as a fertilizer, defoliant and in many manufacturing processes. It often occurs as the calcium salt, sometimes also referred to as cyanamide. The citrated calcium salt is used in the treatment of alcoholism. [PubChem]",What is the state of Cyanamide at room temperature?,Gas,Liquid,Solid,Plasma,Gel,C
933,DB02679,Cyanamide,small molecule,Organic nitrogen compounds,unknown,"A cyanide compound which has been used as a fertilizer, defoliant and in many manufacturing processes. It often occurs as the calcium salt, sometimes also referred to as cyanamide. The citrated calcium salt is used in the treatment of alcoholism. [PubChem]",Which of the following categories does Cyanamide belong to?,Carbodiimides,Steroids,Glycopeptides,Beta-lactams,Sulfonamides,A
934,DB02679,Cyanamide,small molecule,Organic nitrogen compounds,unknown,"A cyanide compound which has been used as a fertilizer, defoliant and in many manufacturing processes. It often occurs as the calcium salt, sometimes also referred to as cyanamide. The citrated calcium salt is used in the treatment of alcoholism. [PubChem]",What is the molecular formula of Cyanamide?,C2H5NO,CH4N2O,CH2N2,C3H7NO2,C2H4N2,C
935,DB02896,Methylthioinosine,small molecule,"Nucleosides, nucleotides, and analogues",unknown,An analog of inosine with a methylthio group replacing the hydroxyl group in the 6-position.,What is the state of Methylthioinosine at room temperature?,Gas,Liquid,Solid,Plasma,Gel,C
936,DB02896,Methylthioinosine,small molecule,"Nucleosides, nucleotides, and analogues",unknown,An analog of inosine with a methylthio group replacing the hydroxyl group in the 6-position.,Which of the following is a correct synonym for Methylthioinosine?,6-Methyl MP riboside,5-Methyl MP riboside,7-Methyl MP riboside,8-Methyl MP riboside,9-Methyl MP riboside,A
937,DB02896,Methylthioinosine,small molecule,"Nucleosides, nucleotides, and analogues",unknown,An analog of inosine with a methylthio group replacing the hydroxyl group in the 6-position.,What is the molecular formula of Methylthioinosine?,C10H12N4O3S,C11H14N4O4S,C12H16N4O5S,C13H18N4O6S,C14H20N4O7S,B
938,DB02896,Methylthioinosine,small molecule,"Nucleosides, nucleotides, and analogues",unknown,An analog of inosine with a methylthio group replacing the hydroxyl group in the 6-position.,What is the melting point of Methylthioinosine?,154 °C,164 °C,174 °C,184 °C,194 °C,B
939,DB03128,Acetylcholine,small molecule,Organic nitrogen compounds,unknown,"A neurotransmitter. Acetylcholine in vertebrates is the major transmitter at neuromuscular junctions, autonomic ganglia, parasympathetic effector junctions, a subset of sympathetic effector junctions, and at many sites in the central nervous system. It is generally not used as an administered drug because it is broken down very rapidly by cholinesterases, but it is useful in some ophthalmological applications.",What is the state of Acetylcholine at room temperature?,Gas,Liquid,Solid,Plasma,Gel,C
940,DB03128,Acetylcholine,small molecule,Organic nitrogen compounds,unknown,"A neurotransmitter. Acetylcholine in vertebrates is the major transmitter at neuromuscular junctions, autonomic ganglia, parasympathetic effector junctions, a subset of sympathetic effector junctions, and at many sites in the central nervous system. It is generally not used as an administered drug because it is broken down very rapidly by cholinesterases, but it is useful in some ophthalmological applications.",Which of the following is a salt form of Acetylcholine?,Acetylcholine sulfate,Acetylcholine bromide,Acetylcholine chloride,Acetylcholine nitrate,Acetylcholine fluoride,C
941,DB03128,Acetylcholine,small molecule,Organic nitrogen compounds,unknown,"A neurotransmitter. Acetylcholine in vertebrates is the major transmitter at neuromuscular junctions, autonomic ganglia, parasympathetic effector junctions, a subset of sympathetic effector junctions, and at many sites in the central nervous system. It is generally not used as an administered drug because it is broken down very rapidly by cholinesterases, but it is useful in some ophthalmological applications.",What is the chemical classification of Acetylcholine?,Alkene,Ketone,Ester,Acyl choline,Alcohol,D
942,DB03128,Acetylcholine,small molecule,Organic nitrogen compounds,unknown,"A neurotransmitter. Acetylcholine in vertebrates is the major transmitter at neuromuscular junctions, autonomic ganglia, parasympathetic effector junctions, a subset of sympathetic effector junctions, and at many sites in the central nervous system. It is generally not used as an administered drug because it is broken down very rapidly by cholinesterases, but it is useful in some ophthalmological applications.",Which product contains Acetylcholine and is used for intraocular administration?,Miochol E,Acetaminophen,Ibuprofen,Nexium,Lipitor,A
943,DB03501,Galactose-uridine-5'-diphosphate,small molecule,"Nucleosides, nucleotides, and analogues",unknown,"A nucleoside diphosphate sugar which can be epimerized into UDPglucose for entry into the mainstream of carbohydrate metabolism. Serves as a source of galactose in the synthesis of lipopolysaccharides, cerebrosides, and lactose.",What is the state of Galactose-uridine-5'-diphosphate at room temperature?,Gas,Liquid,Solid,Gel,Plasma,C
944,DB03501,Galactose-uridine-5'-diphosphate,small molecule,"Nucleosides, nucleotides, and analogues",unknown,"A nucleoside diphosphate sugar which can be epimerized into UDPglucose for entry into the mainstream of carbohydrate metabolism. Serves as a source of galactose in the synthesis of lipopolysaccharides, cerebrosides, and lactose.",Under which group is Galactose-uridine-5'-diphosphate classified in the DrugBank database?,Approved,Nutraceutical,Illicit,Experimental,Withdrawn,D
945,DB03501,Galactose-uridine-5'-diphosphate,small molecule,"Nucleosides, nucleotides, and analogues",unknown,"A nucleoside diphosphate sugar which can be epimerized into UDPglucose for entry into the mainstream of carbohydrate metabolism. Serves as a source of galactose in the synthesis of lipopolysaccharides, cerebrosides, and lactose.",Which of the following categories does Galactose-uridine-5'-diphosphate belong to?,"Amino Acids, Peptides, and Proteins",Carbohydrates,Enzymes,Hormones,Vitamins,B
946,DB03567,alpha-N-Acetyl-D-galactosamine,small molecule,Organic oxygen compounds,unknown,The N-acetyl derivative of galactosamine. [PubChem],What is the state of alpha-N-Acetyl-D-galactosamine at room temperature?,Liquid,Gas,Solid,Gel,Plasma,C
947,DB03567,alpha-N-Acetyl-D-galactosamine,small molecule,Organic oxygen compounds,unknown,The N-acetyl derivative of galactosamine. [PubChem],Which of the following is a synonym for alpha-N-Acetyl-D-galactosamine?,GalNAc-α,Acetaminophen,Ascorbic Acid,Ibuprofen,Glucose,A
948,DB03567,alpha-N-Acetyl-D-galactosamine,small molecule,Organic oxygen compounds,unknown,The N-acetyl derivative of galactosamine. [PubChem],What is the molecular formula of alpha-N-Acetyl-D-galactosamine?,C6H12O6,C8H15NO6,C12H22O11,C7H8N4O2,C20H25N3O,B
949,DB03567,alpha-N-Acetyl-D-galactosamine,small molecule,Organic oxygen compounds,unknown,The N-acetyl derivative of galactosamine. [PubChem],Which classification describes alpha-N-Acetyl-D-galactosamine?,Amino acids,N-acyl-alpha-hexosamines,Fatty acids,Steroids,Enzymes,B
